№,Наименование предприятия,ОКВЭД,Вид деятельности,Отчетный период прошлого года (В натуральном выражении),Отчетный период прошлого года (В стоимостном выражении),Отчетный период текущего года (В натуральном выражении),Отчетный период текущего года (В стоимостном выражении),"Отношение периодов, %",Отчетный месяц прошлого года (В натуральном выражении),Отчетный месяц прошлого года (В стоимостном выражении),Отчетный месяц текущего года (В натуральном выражении),Отчетный месяц текущего года (В стоимостном выражении),"Отношение месяцев, %",Год,Месяц
120.0,Предприятие 120,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,май
121.0,Предприятие 121,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",406.0,400000.0,300.0,300000.0,73.89162561576354,276.0,276000.0,360.0,77000.0,130.43478260869566,2020,май
122.0,Предприятие 122,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",300.0,301265.0,295.0,12165.0,98.33333333333331,80.0,80000.0,99.0,99000.0,123.75,2020,май
123.0,Предприятие 123,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,2020,май
124.0,Предприятие 124,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,май
125.0,Предприятие 125,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",55.0,550000.0,28.0,238000.0,50.90909090909091,70.0,70000.0,80.0,80000.0,114.28571428571428,2020,май
126.0,Предприятие 126,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",40.0,400000.0,30.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,2020,май
127.0,Предприятие 127,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,май
128.0,Предприятие 128,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,май
129.0,Предприятие 129,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,май
130.0,Предприятие 130,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,май
,"Итого удельный вес, в %:","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,,,,,,,,,,2020,май
1.0,Предприятие 1,Добыча полезных ископаемых,добыча металлических руд,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
2.0,Предприятие 2,Добыча полезных ископаемых,добыча металлических руд,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
3.0,Предприятие 3,Добыча полезных ископаемых,добыча металлических руд,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
4.0,Предприятие 4,Добыча полезных ископаемых,добыча металлических руд,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,июнь
5.0,Предприятие 5,Добыча полезных ископаемых,добыча металлических руд,500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,июнь
,"Итого удельный вес, в % ",Добыча полезных ископаемых,добыча металлических руд,,,,,,,,,,,2020,июнь
6.0,Предприятие 6,Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,550.0,550000.0,330.0,330000.0,60.0,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
7.0,Предприятие 7,Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,120.0,120000.0,100.0,100000.0,83.33333333333334,55.0,55000.0,35.0,35000.0,63.63636363636363,2020,июнь
,"Итого удельный вес, в % ",Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,,,,,,,,,,,2020,июнь
8.0,Предприятие 8,Добыча полезных ископаемых,добыча прочих полезных ископаемых,100.0,100000.0,90.0,90000.0,90.0,77.0,77000.0,60.0,60000.0,77.92207792207795,2020,июнь
9.0,Предприятие 9,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,330.0,330000.0,80.0,80000.0,24.24242424242424,78.0,78000.0,70.0,70000.0,89.74358974358975,2020,июнь
10.0,Предприятие 10,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,150.0,150000.0,100.0,100000.0,66.66666666666666,88.0,88000.0,90.0,90000.0,102.27272727272728,2020,июнь
11.0,Предприятие 11,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,550.0,550000.0,250.0,250000.0,45.45454545454545,135.0,135000.0,46.0,46000.0,34.074074074074076,2020,июнь
12.0,Предприятие 12,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,77.0,77000.0,27.898550724637683,2020,июнь
13.0,Предприятие 13,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122447,2020,июнь
,"Итого удельный вес, в %:",Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,,,,,,,,,,,2020,июнь
14.0,Предприятие 14,Обрабатывающие производства,производство текстильных изделий ,96.0,100000.0,112.0,150000.0,116.66666666666669,70.0,70000.0,90.0,90000.0,128.57142857142858,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство текстильных изделий ,,,,,,,,,,,2020,июнь
15.0,Предприятие 15,Обрабатывающие производства,производство одежды,300.0,300000.0,100.0,100000.0,33.33333333333333,50.0,50000.0,45.0,45000.0,90.0,2020,июнь
16.0,Предприятие 16,Обрабатывающие производства,производство одежды,220.0,220000.0,200.0,200000.0,90.9090909090909,78.0,78000.0,65.0,65000.0,83.33333333333334,2020,июнь
17.0,Предприятие 17,Обрабатывающие производства,производство одежды,135.0,135000.0,160.0,160000.0,118.5185185185185,69.0,69000.0,70.0,70000.0,101.44927536231884,2020,июнь
18.0,Предприятие 18,Обрабатывающие производства,производство одежды,550.0,550000.0,238.0,238000.0,43.27272727272727,70.0,70000.0,80.0,80000.0,114.28571428571428,2020,июнь
19.0,Предприятие 19,Обрабатывающие производства,производство одежды,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство одежды,,,,,,,,,,,2020,июнь
20.0,Предприятие 20,Обрабатывающие производства,производство кожи и изделий из кожи,400.0,400000.0,420.0,420000.0,105.0,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
21.0,Предприятие 21,Обрабатывающие производства,производство кожи и изделий из кожи,550.0,550000.0,300.0,300000.0,54.54545454545454,56.0,56000.0,60.0,60000.0,107.14285714285714,2020,июнь
22.0,Предприятие 22,Обрабатывающие производства,производство кожи и изделий из кожи,150.0,150000.0,250.0,250000.0,166.66666666666669,75.0,75000.0,88.0,88000.0,117.33333333333331,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство кожи и изделий из кожи,,,,,,,,,,,2020,июнь
23.0,Предприятие 23,Обрабатывающие производства,производство изделий народных художественных промыслов ,100.0,100000.0,110.0,110000.0,110.0,56.0,56000.0,80.0,80000.0,142.85714285714286,2020,июнь
24.0,Предприятие 24,Обрабатывающие производства,производство изделий народных художественных промыслов ,120.0,120726.0,90.0,90538.0,75.0,75.0,75000.0,70.0,70000.0,93.33333333333331,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство изделий народных художественных промыслов ,,,,,,,,,,,2020,июнь
25.0,Предприятие 25,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,2020,июнь
26.0,Предприятие 26,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,2020,июнь
27.0,Предприятие 27,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",200.0,200000.0,196.0,196000.0,98.0,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,июнь
28.0,Предприятие 28,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,2020,июнь
29.0,Предприятие 29,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",350.0,350000.0,400.0,88.0,114.28571428571428,44.0,44000.0,47.0,88000.0,106.8181818181818,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",,,,,,,,,,,2020,июнь
30.0,Предприятие 30,Обрабатывающие производства,производство бумаги и бумажных изделий,430.0,430000.0,420.0,96000.0,97.67441860465117,130.0,430000.0,89.0,96000.0,68.46153846153847,2020,июнь
31.0,Предприятие 31,Обрабатывающие производства,производство бумаги и бумажных изделий,500.0,500000.0,520.0,121546.0,104.0,98.0,500000.0,61.0,121546.0,62.24489795918368,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство бумаги и бумажных изделий,,,,,,,,,,,2020,июнь
32.0,Предприятие 32,Обрабатывающие производства,"производство кокса, нефтепродуктов",12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,июнь
33.0,Предприятие 33,Обрабатывающие производства,"производство кокса, нефтепродуктов",24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,июнь
34.0,Предприятие 34,Обрабатывающие производства,"производство кокса, нефтепродуктов",21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,2020,июнь
35.0,Предприятие 35,Обрабатывающие производства,"производство кокса, нефтепродуктов",12487.0,124875.0,10053.0,113521.0,80.50772803715864,487.0,24875.0,432.0,24875.0,88.70636550308011,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство кокса, нефтепродуктов",,,,,,,,,,,2020,июнь
36.0,Предприятие 36,Обрабатывающие производства,производство химических веществ и химических продуктов,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
37.0,Предприятие 37,Обрабатывающие производства,производство химических веществ и химических продуктов,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
38.0,Предприятие 38,Обрабатывающие производства,производство химических веществ и химических продуктов,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
39.0,Предприятие 39,Обрабатывающие производства,производство химических веществ и химических продуктов,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,июнь
40.0,Предприятие 40,Обрабатывающие производства,производство химических веществ и химических продуктов,500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,июнь
41.0,Предприятие 41,Обрабатывающие производства,производство химических веществ и химических продуктов,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
42.0,Предприятие 42,Обрабатывающие производства,производство химических веществ и химических продуктов,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
43.0,Предприятие 43,Обрабатывающие производства,производство химических веществ и химических продуктов,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
44.0,Предприятие 44,Обрабатывающие производства,производство химических веществ и химических продуктов,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,июнь
45.0,Предприятие 45,Обрабатывающие производства,производство химических веществ и химических продуктов,500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,июнь
46.0,Предприятие 46,Обрабатывающие производства,производство химических веществ и химических продуктов,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
47.0,Предприятие 47,Обрабатывающие производства,производство химических веществ и химических продуктов,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
48.0,Предприятие 48,Обрабатывающие производства,производство химических веществ и химических продуктов,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
49.0,Предприятие 49,Обрабатывающие производства,производство химических веществ и химических продуктов,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство химических веществ и химических продуктов,,,,,,,,,,,2020,июнь
50.0,Предприятие 50,Обрабатывающие производства,"производство лекарственных средств и материалов, применяемых в медицинских целях",12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,июнь
51.0,Предприятие 51,Обрабатывающие производства,"производство лекарственных средств и материалов, применяемых в медицинских целях",24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство лекарственных средств и материалов, применяемых в медицинских целях",,,,,,,,,,,2020,июнь
52.0,Предприятие 52,Обрабатывающие производства,производство резиновых и пластмассовых изделий,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
53.0,Предприятие 53,Обрабатывающие производства,производство резиновых и пластмассовых изделий,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
54.0,Предприятие 54,Обрабатывающие производства,производство резиновых и пластмассовых изделий,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство резиновых и пластмассовых изделий,,,,,,,,,,,2020,июнь
56.0,Предприятие 56,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
57.0,Предприятие 57,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
58.0,Предприятие 58,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
59.0,Предприятие 59,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство прочей неметаллической минеральной продукции,,,,,,,,,,,2020,июнь
60.0,Предприятие 60,Обрабатывающие производства,производство металлургическое,12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство металлургическое,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,июнь
61.0,Предприятие 61,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
62.0,Предприятие 62,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
63.0,Предприятие 63,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
64.0,Предприятие 64,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,июнь
65.0,Предприятие 65,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",,,,,,,,,,,2020,июнь
66.0,Предприятие 66,Обрабатывающие производства,производство машин и оборудования для металлургии,12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,июнь
67.0,Предприятие 67,Обрабатывающие производства,производство машин и оборудования для металлургии,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство машин и оборудования для металлургии,,,,,,,,,,,2020,июнь
68.0,Предприятие 68,Обрабатывающие производства,производство машин и оборудования для добычи полезных ископаемых и строительства,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство машин и оборудования для добычи полезных ископаемых и строительства,,,,,,,,,,,2020,июнь
69.0,Предприятие 69,Обрабатывающие производства,"производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",,,,,,,,,,,2020,июнь
70.0,Предприятие 70,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
71.0,Предприятие 71,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
72.0,Предприятие 72,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
73.0,Предприятие 73,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,июнь
74.0,Предприятие 74,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,июнь
75.0,Предприятие 75,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
76.0,Предприятие 76,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
77.0,Предприятие 77,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",,,,,,,,,,,2020,июнь
78.0,Предприятие 78,Обрабатывающие производства,производство электрического оборудования,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
79.0,Предприятие 79,Обрабатывающие производства,производство электрического оборудования,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
80.0,Предприятие 80,Обрабатывающие производства,производство электрического оборудования,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
82.0,Предприятие 81,Обрабатывающие производства,производство электрического оборудования,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство электрического оборудования,,,,,,,,,,,2020,июнь
83.0,Предприятие 83,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
84.0,Предприятие 84,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
85.0,Предприятие 85,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
86.0,Предприятие 86,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
87.0,Предприятие 87,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,июнь
88.0,Предприятие 88,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,июнь
89.0,Предприятие 89,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
90.0,Предприятие 90,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
91.0,Предприятие 91,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,июнь
92.0,Предприятие 92,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,июнь
93.0,Предприятие 93,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,2020,июнь
94.0,Предприятие 94,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",12487.0,124875.0,10053.0,113521.0,80.50772803715864,487.0,24875.0,432.0,24875.0,88.70636550308011,2020,июнь
95.0,Предприятие 95,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",,,,,,,,,,,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",,,,,,,,,,,2020,июнь
96.0,Предприятие 96,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,июнь
97.0,Предприятие 97,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
98.0,Предприятие 98,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
99.0,Предприятие 99,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",,,,,,,,,,,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",,,,,,,,,,,2020,июнь
100.0,Предприятие 100,Обрабатывающие производства,производство прочих транспортных средств и оборудования,12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,июнь
101.0,Предприятие 101,Обрабатывающие производства,производство прочих транспортных средств и оборудования,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,июнь
102.0,Предприятие 102,Обрабатывающие производства,производство прочих транспортных средств и оборудования,21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство прочих транспортных средств и оборудования,,,,,,,,,,,2020,июнь
103.0,Предприятие 103,Обрабатывающие производства,производство мебели,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
104.0,Предприятие 104,Обрабатывающие производства,производство мебели,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство мебели,,,,,,,,,,,2020,июнь
105.0,Предприятие 105,Обрабатывающие производства,ремонт и монтаж машин и оборудования ,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
106.0,Предприятие 106,Обрабатывающие производства,ремонт и монтаж машин и оборудования ,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,июнь
,"Итого удельный вес, в %:",Обрабатывающие производства,ремонт и монтаж машин и оборудования ,,,,,,,,,,,2020,июнь
107.0,Предприятие 107,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,июнь
